statistics,python,machine learning,deep learning,r programming,nlp,data engineering
statistical modelling,numpy,linear regression,neural networks,shiny,sentiment analysis,aws
probability,pandas,logistic regression,keras,ggplot,chat bot ,ec2
normal distribution,scikit learn,k means,cnn,cran,word cloud,instances
hypothesis testing ,sklearn,random forest,convolutional neural networks,tidyr,word to vector,azure
bayesian inference,matplotlib,svm,object detection ,knitr,,sql 
factor analysis,,naïve bayes,yolo,,,nosql
monte carlo ,,decision trees,gans,,,kubernetes
,,,open cv,,,hadoop
,,,,,,spark 
,,,,,,tableu
,,,,,,power bi
